Date_Calc,Sales,Type
1/1/1992,790,Book stores
2/1/1992,539,Book stores
3/1/1992,535,Book stores
4/1/1992,523,Book stores
5/1/1992,552,Book stores
6/1/1992,589,Book stores
7/1/1992,592,Book stores
8/1/1992,894,Book stores
9/1/1992,861,Book stores
10/1/1992,645,Book stores
11/1/1992,642,Book stores
12/1/1992,1165,Book stores
1/1/1993,998,Book stores
2/1/1993,568,Book stores
3/1/1993,602,Book stores
4/1/1993,583,Book stores
5/1/1993,612,Book stores
6/1/1993,618,Book stores
7/1/1993,607,Book stores
8/1/1993,983,Book stores
9/1/1993,903,Book stores
10/1/1993,669,Book stores
11/1/1993,692,Book stores
12/1/1993,1273,Book stores
1/1/1994,1053,Book stores
2/1/1994,635,Book stores
3/1/1994,634,Book stores
4/1/1994,610,Book stores
5/1/1994,684,Book stores
6/1/1994,724,Book stores
7/1/1994,678,Book stores
8/1/1994,1154,Book stores
9/1/1994,1022,Book stores
10/1/1994,732,Book stores
11/1/1994,772,Book stores
12/1/1994,1409,Book stores
1/1/1995,1308,Book stores
2/1/1995,718,Book stores
3/1/1995,695,Book stores
4/1/1995,688,Book stores
5/1/1995,785,Book stores
6/1/1995,808,Book stores
7/1/1995,782,Book stores
8/1/1995,1248,Book stores
9/1/1995,1102,Book stores
10/1/1995,746,Book stores
11/1/1995,850,Book stores
12/1/1995,1466,Book stores
1/1/1996,1373,Book stores
2/1/1996,757,Book stores
3/1/1996,743,Book stores
4/1/1996,750,Book stores
5/1/1996,853,Book stores
6/1/1996,838,Book stores
7/1/1996,786,Book stores
8/1/1996,1359,Book stores
9/1/1996,1040,Book stores
10/1/1996,899,Book stores
11/1/1996,908,Book stores
12/1/1996,1599,Book stores
1/1/1997,1558,Book stores
2/1/1997,825,Book stores
3/1/1997,813,Book stores
4/1/1997,806,Book stores
5/1/1997,894,Book stores
6/1/1997,875,Book stores
7/1/1997,830,Book stores
8/1/1997,1301,Book stores
9/1/1997,1158,Book stores
10/1/1997,923,Book stores
11/1/1997,994,Book stores
12/1/1997,1765,Book stores
1/1/1998,1463,Book stores
2/1/1998,921,Book stores
3/1/1998,882,Book stores
4/1/1998,854,Book stores
5/1/1998,919,Book stores
6/1/1998,939,Book stores
7/1/1998,881,Book stores
8/1/1998,1385,Book stores
9/1/1998,1246,Book stores
10/1/1998,953,Book stores
11/1/1998,990,Book stores
12/1/1998,1849,Book stores
1/1/1999,1514,Book stores
2/1/1999,990,Book stores
3/1/1999,976,Book stores
4/1/1999,933,Book stores
5/1/1999,976,Book stores
6/1/1999,1031,Book stores
7/1/1999,1023,Book stores
8/1/1999,1386,Book stores
9/1/1999,1240,Book stores
10/1/1999,1019,Book stores
11/1/1999,1088,Book stores
12/1/1999,1996,Book stores
1/1/2000,1505,Book stores
2/1/2000,1090,Book stores
3/1/2000,1031,Book stores
